Nx=24 Ny= 6 t= 0.000 J= 0.000 N_up=132 N_down=  0 M1= 3600 M2= 8000
          39          56  -2.217189110680489E-003 -1.312724579709456E-018 
          39          57  -9.064699613521272E-004 -6.563433206371178E-019 
          39          58  4.542894882096831E-004 -3.148926178539380E-019 
          39          59  4.527108819944075E-004 2.587845214753769E-020 
          39          60  -9.313961135809092E-004 2.942597894488091E-020 
          39          61  1.273717476355784E-004 -1.772000764516993E-019 
          39          62  2.499914776073267E-004 9.516322929998302E-020 
          39          63  7.614943583701682E-005 4.068848802491372E-020 
          39          64  -3.335730917032365E-004 -1.315135951463086E-019 
          39          65  7.338562249656930E-005 2.367942381369815E-020 
          39          66  2.315702288930753E-004 -1.210290859264738E-019 
          39          67  -1.430369896811340E-004 -7.982738039317808E-020 
          39          68  -9.979813840711762E-005 -1.372366732250416E-021 
          39          69  4.633963085480233E-005 1.821591114987818E-020 
          39          70  4.223948781683411E-005 8.562599015664145E-022 
          39          71  -8.824035225393984E-005 5.058616268676953E-020 
          39          72  -1.388932930103558E-004 -4.549145648508075E-020 
          39          73  3.617215386515560E-005 1.874142978724225E-020 
          39          74  9.433041943199845E-006 -2.431316690566804E-021 
          39          75  -2.548615913574510E-005 -7.518424647574701E-021 
          39          76  9.345299962186013E-006 -6.769971137602249E-021 
          39          77  3.284319452701962E-005 1.114088344593614E-020 
          39          78  3.076959557740046E-005 -6.343750278060598E-021 
          39          79  -9.222939720742884E-006 -1.809844247975788E-022 
          39          80  -7.646439118871571E-006 1.061133002263595E-021 
          39          81  -7.505041809252808E-006 -1.653094372178179E-021 
          39          82  -8.998616568010592E-006 1.394110701818351E-021 
          39          83  -9.306988745095005E-006 -4.013704296822067E-021 
          39          84  -1.029079899795060E-005 -4.557858960670064E-021 
          39          85  3.020366037036297E-006 5.000817788665780E-023 
          39          86  3.603152492892977E-006 1.490534996708152E-021 
          39          87  2.990047485132689E-006 1.442685523420647E-021 
          39          88  1.576447233978690E-006 1.695700748132817E-021 
          39          89  3.335747141819281E-006 -4.944797516145171E-022 
          39          90  1.619552597334653E-006 1.555475807937004E-021 
          39          91  -1.231406513301079E-006 3.500742040317868E-022 
          39          92  -1.265933853978162E-006 -1.124395907480729E-022 
          39          93  -5.708088102466917E-007 -1.343243492012309E-022 
          39          94  -1.223417795969065E-006 -1.149025362871624E-022 
          39          95  -1.132945720645052E-006 1.030793443928064E-023 
          39          96  -5.830054283700581E-007 -1.383413687810865E-022 
          39          97  3.987756206526322E-007 9.839636178352442E-024 
          39          98  1.621379935361529E-007 3.957863822664828E-023 
          39          99  2.976133408230228E-007 -8.837661414400947E-023 
          39         100  3.138047245263779E-007 7.090250536007900E-023 
          39         101  2.707057244406889E-007 1.058472677865135E-022 
          39         102  1.564404539213064E-007 2.018518087287494E-022 
          39         103  -5.338737489482852E-008 -1.177159127557969E-023 
          39         104  -4.027162297283908E-008 -2.900191511849883E-023 
