Nx=  24 Ny= 6 t= 0.000 J= 0.000 N_up=132 N_down=  0 M1= 1200 M2= 6000
    16     5    0.92130161   87.03390473
    16     6    0.92124859   87.95515333
    17     1    0.91904863   88.87420196
    17     2    0.91910620   89.79330816
    17     3    0.91913325   90.71244141
    17     4    0.91911244   91.63155384
    17     5    0.91906310   92.55061694
    17     6    0.91902850   93.46964544
    18     1    0.90668576   94.37633120
    18     2    0.90673692   95.28306812
    18     3    0.90677057   96.18983869
    18     4    0.90675721   97.09659591
    18     5    0.90670852   98.00330442
    18     6    0.90667381   98.90997823
    19     1    0.91046367   99.82044190
    19     2    0.91048697  100.73092887
    19     3    0.91054388  101.64147275
    19     4    0.91057838  102.55205113
    19     5    0.91056124  103.46261238
    19     6    0.91051122  104.37312359
    20     1    0.92594634  105.29906994
    20     2    0.92596146  106.22503140
    20     3    0.92600174  107.15103315
    20     4    0.92603104  108.07706418
    20     5    0.92602945  109.00309363
    20     6    0.92598566  109.92907929
    21     1    0.92294242  110.85202172
    21     2    0.92296295  111.77498467
    21     3    0.92296064  112.69794531
    21     4    0.92294445  113.62088975
    21     5    0.92293677  114.54382652
    21     6    0.92292160  115.46674812
    22     1    0.90526095  116.37200907
    22     2    0.90526638  117.27727545
    22     3    0.90527658  118.18255202
    22     4    0.90527777  119.08782980
    22     5    0.90527532  119.99310512
    22     6    0.90524988  120.89835501
    23     1    0.90702197  121.80537698
    23     2    0.90704084  122.71241781
    23     3    0.90707912  123.61949693
    23     4    0.90709772  124.52659465
    23     5    0.90709201  125.43368666
    23     6    0.90704473  126.34073138
    24     1    0.94319448  127.28392587
    24     2    0.94320607  128.22713193
    24     3    0.94322593  129.17035787
    24     4    0.94323099  130.11358886
    24     5    0.94321796  131.05680682
    24     6    0.94319318  132.00000000
 
Nx=  24 Ny= 6 t= 0.000 J= 0.000 N_up=132 N_down=  0 M1= 3200 M2= ****
     1     1    0.94324311    0.94324311
     1     2    0.94325889    1.88650200
     1     3    0.94326738    2.82976937
     1     4    0.94326400    3.77303337
     1     5    0.94325139    4.71628476
     1     6    0.94324282    5.65952758
     2     1    0.90718026    6.56670785
     2     2    0.90721444    7.47392228
     2     3    0.90721931    8.38114160
     2     4    0.90720370    9.28834530
     2     5    0.90717849   10.19552379
     2     6    0.90716907   11.10269286
     3     1    0.90537142   12.00806427
     3     2    0.90539043   12.91345470
     3     3    0.90539136   13.81884606
     3     4    0.90538959   14.72423565
     3     5    0.90538242   15.62961806
     3     6    0.90537893   16.53499700
     4     1    0.92272751   17.45772451
     4     2    0.92274138   18.38046588
     4     3    0.92274649   19.30321237
     4     4    0.92275578   20.22596815
     4     5    0.92275543   21.14872358
     4     6    0.92274072   22.07146431
     5     1    0.92573863   22.99720293
     5     2    0.92577023   23.92297316
     5     3    0.92577007   24.84874323
     5     4    0.92574906   25.77449229
     5     5    0.92572226   26.70021455
     5     6    0.92571219   27.62592674
     6     1    0.91072009   28.53664683
     6     2    0.91075470   29.44740152
     6     3    0.91076425   30.35816578
     6     4    0.91074032   31.26890610
     6     5    0.91070419   32.17961029
     6     6    0.91068809   33.09029838
     7     1    0.90693586   33.99723423
     7     2    0.90696055   34.90419478
     7     3    0.90699051   35.81118529
     7     4    0.90699901   36.71818430
     7     5    0.90697751   37.62516181
     7     6    0.90694171   38.53210352
     8     1    0.91871655   39.45082007
     8     2    0.91874171   40.36956178
     8     3    0.91877393   41.28833571
     8     4    0.91878704   42.20712275
     8     5    0.91876866   43.12589141
     8     6    0.91872814   44.04461955
     9     1    0.92086322   44.96548277
     9     2    0.92090011   45.88638288
     9     3    0.92091812   46.80730100
     9     4    0.92090432   47.72820532
     9     5    0.92087111   48.64907642
     9     6    0.92084227   49.56991870
    10     1    0.90982354   50.47974224
    10     2    0.90986126   51.38960350
    10     3    0.90988074   52.29948424
    10     4    0.90986559   53.20934983
    10     5    0.90983048   54.11918031
    10     6    0.90980007   55.02898038
    11     1    0.90883406   55.93781444
    11     2    0.90885999   56.84667443
    11     3    0.90889461   57.75556904
    11     4    0.90890560   58.66447464
    11     5    0.90888744   59.57336207
    11     6    0.90884345   60.48220552
    12     1    0.91960382   61.40180934
