Nx=24 Ny= 6  N_up=132
          40          70  -6.780903642240929E-005 4.455293315023396E-020 
          40          71  -8.332679059781010E-005 2.644156699566819E-020 
          40          72  -3.400535977927853E-005 -9.897766218764452E-021 
          40          73  6.528524007741316E-006 -3.454114965881798E-020 
          40          74  -1.561843709083159E-005 -2.127096124494044E-020 
          40          75  -9.507583430131348E-005 -6.958618374864196E-021 
          40          76  -2.239227372433765E-004 -3.000743419499103E-020 
          40          77  -8.789044360699314E-005 -1.058601005847702E-020 
          40          78  -2.753698814991900E-005 -4.453624038551820E-020 
          40          79  -1.429554412139959E-005 -6.886743679012373E-021 
          40          80  -3.649763362619786E-005 -1.990002310542889E-020 
          40          81  -7.024801287660702E-005 1.001935337070105E-021 
          40          82  -7.345817300614424E-005 -5.282891643251164E-021 
          40          83  -3.918219892102452E-005 -1.075833376407618E-022 
          40          84  -1.620652352811482E-005 -9.252670302098150E-021 
          40          85  1.811647118188534E-006 7.632891914292553E-021 
          40          86  1.037664820114775E-005 -1.381501521801707E-021 
          40          87  -5.763905909861744E-006 1.075431369610394E-020 
          40          88  9.281706684406588E-006 -3.745721775947181E-023 
          40          89  3.392773401205369E-006 1.090715020669389E-021 
          40          90  -4.502894554680001E-005 7.567615475156087E-021 
          40          91  -1.435131988737548E-005 -1.876092792922520E-021 
          40          92  -2.410875462059728E-006 -4.055189537166238E-021 
          40          93  -3.874334730860905E-007 -3.074174603445371E-021 
          40          94  -1.380237367273721E-005 8.093815459405842E-021 
          40          95  -8.109847766452335E-006 3.266621219707411E-020 
          40          96  -9.817664168906942E-006 -8.122877912889810E-020 
          40          97  1.035749376597971E-006 1.506263793799694E-020 
          40          98  -9.144278695696281E-006 6.758115480296892E-021 
          40          99  5.183660034941902E-007 2.864514718605932E-020 
          40         100  3.460244451384991E-006 1.096482540331252E-021 
          40         101  -2.196388721791550E-006 -8.852927011817630E-021 
          40         102  3.415389423429761E-006 -8.806521642714076E-021 
          40         103  -2.139196928269799E-006 -6.987439953455119E-022 
          40         104  -2.195024078797206E-006 1.046563931943253E-021 
          40         105  -1.275272177168481E-006 -9.579747473924542E-023 
          40         106  1.413785291261152E-007 9.295171025635283E-022 
          40         107  3.118868759519001E-007 -1.356755399897800E-021 
          40         108  -1.249608043613328E-006 -2.897165413996167E-021 
          41          37  2.703845327488720E-003 -3.234230378073947E-018 
          41          38  2.311298487090903E-003 -3.208877495776190E-018 
          41          39  2.688116447034561E-003 -4.852874775925594E-019 
          41          40  -8.119084939946022E-002 1.496189367011026E-018 
          41          41  0.470232663846910 6.287942283155430E-017 
          41          42  -8.126556395594724E-002 1.092329898501171E-017 
          41          43  -3.439117622890198E-003 1.473359209411729E-019 
          41          44  -3.431275486626730E-003 3.538692697166137E-019 
          41          45  6.263672999211037E-003 1.643272742452321E-018 
          41          46  -7.571015753947007E-002 -1.068236426307924E-017 
          41          47  -7.517014404678855E-002 1.958487352835751E-018 
          41          48  6.214327604249964E-003 1.160094274982981E-018 
          41          49  -7.572374171997866E-004 2.242939212552756E-018 
          41          50  -3.882167154027378E-003 -8.410999666851993E-019 
          41          51  1.977655040659750E-003 -1.020883811789060E-018 
          41          52  4.958608569778139E-003 4.827753997961568E-019 
          41          53  1.763403700101579E-003 3.323335725267827E-019 
          41          54  -3.795168154511861E-003 4.351772564062482E-019 
          41          55  -9.704678807065866E-004 1.268490498680414E-019 
          41          56  8.056289664809447E-004 -1.146680649195160E-019 
          41          57  -1.742253959884986E-003 -1.003627248011691E-019 
          41          58  -1.731398993514916E-003 -3.186586003938134E-019 
          41          59  7.790868479835558E-004 5.178674834693953E-020 
          41          60  -9.907536022921827E-004 -2.503025727456414E-019 
          41          61  -2.963563943303691E-004 -5.860682418417968E-020 
          41          62  -5.738375266265069E-004 -7.035874676089745E-020 
          41          63  -5.700052067866630E-004 1.057089084055402E-019 
          41          64  -5.412590061448913E-004 -4.246730710373184E-020 
          41          65  -2.732545709890557E-004 -1.405451509292927E-020 
          41          66  -1.990826527838136E-004 1.757656261055753E-019 
          41          67  -5.308144505695609E-005 6.333795666022374E-021 
          41          68  -3.883009522510911E-004 -5.383800593223624E-020 
          41          69  -3.884785255209284E-004 1.508512187804995E-019 
          41          70  -5.472701141516390E-005 8.282416626234589E-020 
          41          71  -6.069058097499300E-005 -3.813018251722441E-020 
          41          72  -7.579152531805591E-005 2.250526362777383E-020 
          41          73  -1.753287485861489E-005 1.129879966402175E-020 
          41          74  -2.976076077099962E-007 -5.733509738132855E-021 
          41          75  -1.768656968477390E-005 -5.854519089179915E-021 
          41          76  -9.922281478984229E-005 1.550421261492576E-020 
          41          77  -2.252754348786074E-004 4.716387187413555E-020 
          41          78  -1.000398854203122E-004 1.698520668603610E-020 
          41          79  -1.779875827123408E-005 -1.158823089752738E-020 
          41          80  -1.497914345051699E-005 -1.048794999222609E-020 
          41          81  -3.918131628113621E-005 1.453109957076232E-021 
          41          82  -7.549578401099651E-005 -8.395612453078475E-021 
          41          83  -7.435296459552754E-005 2.256234116201327E-020 
          41          84  -4.147959252091822E-005 9.372268869322989E-021 
          41          85  -4.476103604018225E-005 -1.522450580784838E-022 
          41          86  2.186896310616022E-006 3.462561627004251E-021 
          41          87  1.064511097448634E-005 -1.833300942550295E-023 
          41          88  -6.244335909426868E-006 3.256992135153937E-022 
          41          89  9.361291216267257E-006 -3.677670237164338E-021 
          41          90  1.719614271283221E-006 6.553085288871136E-021 
          41          91  -1.092484067766667E-005 2.843493561314390E-021 
          41          92  -1.337297611827215E-005 -3.312559953272077E-021 
          41          93  -2.519505125319873E-006 -8.311617378568005E-022 
          41          94  -1.116020354625451E-006 -7.264954900964879E-022 
          41          95  -1.346574104712841E-005 -1.790602314044672E-020 
          41          96  -9.954550127003688E-006 9.421071281847549E-021 
          41          97  3.147465405927001E-006 8.666329089063311E-022 
          41          98  8.870534659570527E-007 -1.307381491820230E-020 
          41          99  -8.804282671415704E-006 -1.198414146514013E-020 
          41         100  8.906577160932405E-007 -4.540750193770735E-021 
          41         101  2.995562758632238E-006 9.571765164461620E-022 
          41         102  -1.613421637166183E-006 -3.907230496619243E-021 
          41         103  -1.314060147996546E-006 3.695169131289062E-021 
          41         104  -2.371671019881293E-006 2.569585276374229E-022 
          41         105  -2.138231216762209E-006 -2.877778412407154E-021 
          41         106  -1.149098200723379E-006 4.832626849155124E-022 
          41         107  1.939718955678306E-007 -6.598498629244820E-022 
          41         108  2.960835477354305E-008 -5.853694261990272E-022 
          42          37  -8.170155289136199E-002 1.899562760217272E-017 
          42          38  2.704782876775440E-003 4.844944557996658E-019 
          42          39  2.275979709498421E-003 -1.600354168988403E-018 
          42          40  2.669822353050192E-003 -4.340524261355354E-018 
          42          41  -8.126556395594724E-002 1.092329898501171E-017 
          42          42  0.470228659229585 2.931824498286321E-017 
          42          43  6.265626683110236E-003 1.342044521374762E-018 
          42          44  -3.444757398856037E-003 1.647497058734734E-018 
          42          45  -3.389766790269359E-003 -1.276817738450851E-018 
          42          46  6.213890973582429E-003 4.111589653040722E-018 
          42          47  -7.539888754228505E-002 -2.620611471736319E-018 
          42          48  -7.586373333707196E-002 -3.582707225423537E-018 
          42          49  -3.882682762200191E-003 7.518207279603087E-019 
          42          50  -7.671770279186583E-004 -2.236649610849691E-019 
          42          51  -3.855604110660496E-003 -3.690986413844999E-019 
          42          52  1.927332762452500E-003 -3.142265556772993E-019 
          42          53  4.926851734606709E-003 9.528736692733794E-019 
          42          54  2.077446762124390E-003 2.518773062355804E-019 
          42          55  -1.011754005881648E-003 -2.808773627859144E-019 
          42          56  -9.705914660488651E-004 -3.182480437275737E-020 
          42          57  8.012002341893599E-004 -7.485013253314071E-020 
          42          58  -1.737226774315642E-003 2.746251154054210E-019 
          42          59  -1.644594672915372E-003 -3.727507551301600E-019 
          42          60  8.088195439624465E-004 1.705562203365264E-019 
          42          61  -2.145248524440017E-004 -3.256954659957634E-020 
          42          62  -2.991527298479614E-004 -1.006476988621017E-020 
          42          63  -5.578896235931491E-004 -2.177479236202381E-019 
          42          64  -6.095917976035269E-004 5.093563093324778E-020 
          42          65  -5.449762317655070E-004 4.024486930873149E-020 
          42          66  -3.225818194368576E-004 -3.450207532506703E-019 
          42          67  -7.235279947618008E-005 -7.494028661378929E-021 
          42          68  -7.070037552108921E-005 1.288154786738538E-020 
          42          69  -4.040385664318337E-004 8.645220106003857E-020 
          42          70  -3.811892274619852E-004 -7.923769299796378E-020 
          42          71  -6.365290438343706E-005 -4.615926936277359E-020 
          42          72  -7.376772931023319E-005 1.211236204905422E-019 
          42          73  -9.552926710767268E-005 5.215353343166106E-021 
          42          74  -1.609650416573774E-005 -5.146815625735322E-020 
          42          75  2.193717585462640E-006 -1.339664479895041E-020 
          42          76  -2.109394477163045E-005 -2.120843844011363E-021 
          42          77  -9.230695917093588E-005 -1.731490418662831E-020 
          42          78  -2.479989233838234E-004 -3.034299396382838E-020 
          42          79  -4.398389672213291E-005 8.033651370741546E-022 
          42          80  -1.759302256930910E-005 -6.057483688523715E-021 
          42          81  -1.652177192686152E-005 -2.080108838951052E-020 
          42          82  -4.345245955663565E-005 -2.015298392422908E-020 
          42          83  -7.763259941093944E-005 1.664985227561317E-021 
          42          84  -8.173182506402489E-005 2.812897283476279E-021 
          42          85  1.653039363292983E-006 5.040294692701534E-021 
          42          86  -4.579638437157640E-005 5.867760977782868E-021 
          42          87  2.568489820400682E-006 4.259585384921491E-021 
          42          88  1.048176261227367E-005 1.151883278560286E-020 
          42          89  -6.040328071122033E-006 5.792644383959236E-021 
          42          90  1.151848163822728E-005 5.316567728627950E-021 
          42          91  -1.060314814612730E-005 -5.484103951351012E-021 
          42          92  -1.027493627069352E-005 -2.298118741298346E-023 
          42          93  -1.403381292483935E-005 -3.062616118039042E-022 
          42          94  -2.063764048068960E-006 8.220558784613065E-021 
          42          95  -1.511484814443004E-006 8.394172758392249E-021 
          42          96  -1.500592398387550E-005 -1.850526667440463E-020 
          42          97  -2.036325823039414E-006 -3.079374258000608E-021 
          42          98  3.222059298422072E-006 2.029265584272605E-021 
          42          99  8.668090151920103E-007 -6.421010787975071E-022 
          42         100  -9.261529287094654E-006 -2.667523292448336E-021 
          42         101  5.931004864527829E-007 1.878795389086094E-021 
          42         102  3.191711161923620E-006 -1.404206606102188E-020 
          42         103  1.822905331522131E-007 -1.248378283775804E-022 
          42         104  -1.287375712968190E-006 3.096073818671927E-022 
          42         105  -2.188744227449823E-006 -7.734699373301034E-022 
          42         106  -2.214093749886467E-006 -4.013200579054741E-022 
          42         107  -1.068941927236121E-006 -2.120724021360652E-021 
          42         108  1.558071393241618E-007 -6.220115561486232E-022 
          43          37  -7.576608635818494E-002 3.068730448435728E-018 
          43          38  -7.568951771970706E-002 5.097429314899915E-018 
          43          39  6.270930181177131E-003 1.670584269357270E-018 
          43          40  -3.453870961594640E-003 -4.102701079614153E-019 
          43          41  -3.439117622890198E-003 1.473359209411729E-019 
          43          42  6.265626683110236E-003 1.342044521374762E-018 
          43          43  0.469089691772334 -2.529491997123866E-017 
          43          44  -8.194787474741863E-002 1.330728799902014E-017 
          43          45  2.386782410748083E-003 1.299779551824143E-018 
          43          46  1.489787706165150E-003 1.187322749302745E-019 
          43          47  2.387995396437530E-003 -1.778621328139922E-018 
          43          48  -8.200870875879950E-002 7.153727606116201E-018 
          43          49  -7.800757876441734E-002 -3.073958430917650E-018 
          43          50  6.256781068055967E-003 -2.059854251389773E-018 
          43          51  -3.383152443401736E-003 -3.209430518874424E-018 
          43          52  -3.322303825503272E-003 -3.556843439653600E-019 
          43          53  6.108887208384470E-003 1.087415101578006E-018 
          43          54  -7.539910842705103E-002 -5.563962004058419E-019 
          43          55  2.308111851898399E-003 -2.318767364383294E-018 
          43          56  -3.969028447480515E-003 -5.593952912691126E-019 
          43          57  -2.012847726490895E-004 -1.864809328901342E-018 
          43          58  -3.911764871269927E-003 -1.564766623847323E-018 
          43          59  1.976955803273136E-003 -8.759686262248311E-019 
          43          60  4.536350627812731E-003 1.576968045004963E-019 
          43          61  9.820919984734285E-004 9.142932083655178E-020 
          43          62  -1.575176996932634E-003 4.215374235837380E-019 
          43          63  -1.543807236050174E-003 -2.687462533304182E-019 
          43          64  9.735067726139635E-004 7.009555478322094E-019 
          43          65  -2.199105026662223E-003 6.090984254120663E-020 
          43          66  -2.365836364637029E-003 1.457736831104345E-019 
          43          67  -2.624454766372442E-005 -4.515431801563794E-020 
          43          68  -5.306605775012970E-005 1.506184718930773E-019 
          43          69  -9.634810672277321E-006 6.993859383108610E-020 
          43          70  -7.895046028429962E-004 6.476641693104319E-020 
          43          71  -2.757738006634095E-005 -1.690818550055883E-019 
          43          72  -8.134256436001920E-004 -5.386615945902546E-020 
          43          73  -1.891089357359599E-004 8.405102904131259E-020 
          43          74  -1.743851742382333E-004 1.237022246159092E-020 
          43          75  -3.614419141127736E-005 5.715926813915507E-021 
          43          76  -4.898492014458794E-004 -3.868597638623546E-021 
          43          77  -4.774803070643616E-004 -1.237882869811118E-019 
          43          78  -3.901535699101674E-005 3.234886070303979E-020 
          43          79  -2.387393252837082E-004 1.049633580092457E-020 
          43          80  -7.133806807288935E-005 -1.537914236495446E-020 
          43          81  -1.792701299689574E-005 4.158001155715199E-021 
