Nx=24 Ny= 6 t= 0.000 J= 0.000 N_up=132 N_down=  0 M1= 3600 M2= ****
          38         106  1.147498966097369E-005 1.324213282651613E-020 
          38         107  1.471507505035756E-005 -7.320712334369141E-021 
          38         108  1.780075357336021E-005 4.487385898302273E-022 
          39          37  -6.887786850498982E-004 2.219450599069020E-018 
          39          38  -6.227008697481308E-002 -1.080337351321447E-017 
          39          39  0.420875162384165 -9.483156703194327E-017 
          39          40  -7.519285038435977E-002 -6.894208535691549E-018 
          39          41  -9.118520791202548E-004 3.402853759638995E-019 
          39          42  4.548076479195140E-004 1.018673274306776E-019 
          39          43  2.884004350725180E-003 2.336350396822238E-018 
          39          44  -6.293086491344509E-002 5.212376959865106E-018 
          39          45  -6.575084669331849E-002 -7.537358452898612E-018 
          39          46  3.727533848629274E-003 2.568217973550797E-019 
          39          47  -2.008061137943328E-003 1.803820700017584E-018 
          39          48  -6.723861345840275E-004 3.556062472535919E-019 
          39          49  -1.701873911738418E-003 5.176213488823186E-019 
          39          50  1.306408090646999E-003 2.495166868093994E-020 
          39          51  -1.842630204093524E-003 -3.167263998559440E-019 
          39          52  -2.119286468549490E-003 4.207216824436834E-019 
          39          53  -2.033099814483083E-003 -3.768883658504448E-019 
          39          54  -8.962148071340811E-004 -9.082604653353526E-020 
          39          55  -1.805286213441967E-003 7.590539200798508E-019 
          39          56  -8.643445066404189E-004 1.124015754305164E-019 
          39          57  6.110174316429923E-004 1.185979104983669E-019 
          39          58  -2.188112261023540E-004 9.815148720806266E-020 
          39          59  -1.084415430400599E-003 7.449854796067860E-020 
          39          60  7.078177686569338E-004 4.073623558225564E-019 
          39          61  -1.976177973727331E-003 3.581833128074850E-019 
          39          62  -4.104917359927981E-004 -3.998570585012179E-019 
          39          63  -2.386612831665289E-003 3.178343267439567E-019 
          39          64  -6.694196315399681E-004 1.128160949919107E-019 
          39          65  -2.245849027929327E-003 3.708940765611146E-020 
          39          66  -7.720128413874694E-004 4.994188431275831E-019 
          39          67  -8.122058825100692E-004 -7.304298452460906E-022 
          39          68  -1.259667373195361E-004 -1.989727789324923E-020 
          39          69  -6.221380489197967E-004 3.004022242767666E-019 
          39          70  -1.805140817893797E-004 5.687359622968453E-020 
          39          71  -1.870353125145638E-004 4.583213104129572E-020 
          39          72  -3.098712512246581E-004 -1.896145097434003E-021 
          39          73  -1.335115690611121E-003 1.680987762011957E-019 
          39          74  -7.065228422421096E-004 1.871182416183686E-019 
          39          75  -1.130901051783879E-003 -5.641841151627451E-019 
          39          76  -4.411590968549068E-004 -2.917707677484113E-019 
          39          77  -1.273704942855275E-003 -1.231496403946799E-019 
          39          78  -6.805825206044733E-004 1.286301950049498E-019 
          39          79  -6.828262614530761E-005 1.673053561459175E-020 
          39          80  -1.611265857614646E-004 -5.206346177157936E-021 
          39          81  -3.381243527544379E-004 7.069388173917114E-020 
          39          82  -1.646667002349754E-005 4.931498637203918E-020 
          39          83  -1.835798097441063E-004 7.890241576834165E-021 
          39          84  -8.393090738582104E-005 6.768192018107618E-020 
          39          85  -3.869520206565355E-004 -6.298110287694478E-020 
          39          86  -4.044509852185492E-004 -1.595317415952092E-020 
          39          87  -4.052826849619171E-004 -1.361362451302897E-020 
          39          88  -2.504513060192783E-004 1.080790100693240E-020 
          39          89  -2.948284714384180E-004 -1.648297810560429E-020 
          39          90  -2.193069539229745E-004 -3.680655890293774E-020 
          39          91  -2.256894027903866E-005 -3.551545251345921E-021 
          39          92  -1.569419894637708E-005 -1.173779334160499E-020 
          39          93  -1.100630537092138E-005 -8.617297668948267E-021 
          39          94  -2.683722679049072E-005 -1.866898558385510E-020 
          39          95  -4.869008327045470E-005 1.946346046583043E-019 
          39          96  3.273894861332876E-006 7.260255742295630E-020 
          39          97  -8.331136068924896E-007 -7.700566481992255E-020 
          39          98  -2.493000210498793E-005 -3.875609455040716E-020 
          39          99  -5.463273109347328E-006 7.374987830914280E-020 
          39         100  -6.232441649611933E-005 2.819163354080044E-020 
          39         101  -6.206203893540277E-006 9.892378593005180E-021 
          39         102  -1.297995629581698E-005 -7.684028932930410E-020 
          39         103  1.368888548411496E-005 -5.932425240793552E-021 
          39         104  1.281166493957413E-005 -6.881931893116379E-021 
          39         105  1.157979829346769E-005 -3.065693772566197E-022 
          39         106  1.265608989014248E-005 1.568175828167663E-021 
          39         107  1.472837308464432E-005 4.985135481285330E-021 
